domain,stage,cohort,arm,metric,training_pass,optimizer_step,seed_43,seed_44,seed_45,seed_46,seed_47,mean,min,max,is_terminal,is_complete_12
MathIR action menu,A,mie70,grpo,mean8,3,1152,0.078125,0.08544921875,0.0712890625,0.076416015625,0.09228515625,0.080712890625,0.0712890625,0.09228515625,0,1
MathIR action menu,A,mie70,grpo,pass8,3,1152,0.30078125,0.34765625,0.328125,0.421875,0.3359375,0.346875,0.30078125,0.421875,0,1
MathIR action menu,A,mie70,grpo,distinct8,3,1152,0.31640625,0.37890625,0.349609375,0.458984375,0.33984375,0.36875,0.31640625,0.458984375,0,1
MathIR action menu,A,mie70,grpo,greedy,6,2304,0.34375,0.2421875,0.375,0.203125,0.3046875,0.29375,0.203125,0.375,0,1
MathIR action menu,A,mie70,grpo,mean8,6,2304,0.333740234375,0.257568359375,0.372802734375,0.21435546875,0.307861328125,0.297265625,0.21435546875,0.372802734375,0,1
MathIR action menu,A,mie70,grpo,pass8,6,2304,0.400390625,0.375,0.439453125,0.302734375,0.35546875,0.374609375,0.302734375,0.439453125,0,1
MathIR action menu,A,mie70,grpo,distinct8,6,2304,0.400390625,0.375,0.439453125,0.302734375,0.35546875,0.374609375,0.302734375,0.439453125,0,1
MathIR action menu,A,mie70,grpo,greedy,9,3456,0.53125,0.484375,0.53125,0.546875,0.40625,0.5,0.40625,0.546875,0,1
MathIR action menu,A,mie70,grpo,mean8,9,3456,0.52685546875,0.48876953125,0.535888671875,0.53564453125,0.42724609375,0.502880859375,0.42724609375,0.535888671875,0,1
MathIR action menu,A,mie70,grpo,pass8,9,3456,0.578125,0.53515625,0.5546875,0.587890625,0.478515625,0.546875,0.478515625,0.587890625,0,1
MathIR action menu,A,mie70,grpo,distinct8,9,3456,0.578125,0.53515625,0.5546875,0.587890625,0.478515625,0.546875,0.478515625,0.587890625,0,1
