domain,track,arm,metric,training_pass,optimizer_step,seed_43,seed_44,seed_45,mean,min,max,is_terminal,is_registered_checkpoint
Countdown,modebench,verified_first_global_replay_canonical,pass8,4,1536,0.66015625,0.6640625,0.65625,0.66015625,0.65625,0.6640625,0,1
Countdown,modebench,verified_first_global_replay_canonical,pass8,5,1920,0.6640625,0.671875,0.658203125,0.6647135416666666,0.658203125,0.671875,0,1
Countdown,modebench,verified_first_global_replay_canonical,pass8,6,2304,0.6640625,0.671875,0.6640625,0.6666666666666666,0.6640625,0.671875,0,1
Countdown,modebench,verified_first_global_replay_canonical,distinct8,0,0,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0,1
Countdown,modebench,verified_first_global_replay_canonical,distinct8,1,384,1.005859375,1.015625,1.279296875,1.1002604166666667,1.005859375,1.279296875,0,1
Countdown,modebench,verified_first_global_replay_canonical,distinct8,2,768,1.271484375,1.3046875,1.580078125,1.3854166666666667,1.271484375,1.580078125,0,1
Countdown,modebench,verified_first_global_replay_canonical,distinct8,3,1152,1.556640625,1.431640625,1.64453125,1.5442708333333333,1.431640625,1.64453125,0,1
Countdown,modebench,verified_first_global_replay_canonical,distinct8,4,1536,1.703125,1.470703125,1.703125,1.6256510416666667,1.470703125,1.703125,0,1
Countdown,modebench,verified_first_global_replay_canonical,distinct8,5,1920,1.845703125,1.521484375,1.65625,1.6744791666666667,1.521484375,1.845703125,0,1
Countdown,modebench,verified_first_global_replay_canonical,distinct8,6,2304,1.8125,1.662109375,1.787109375,1.75390625,1.662109375,1.8125,0,1
Countdown,modebench,same_plumbing_actuator_off_control,greedy,0,0,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0,1
Countdown,modebench,same_plumbing_actuator_off_control,greedy,1,384,0.3359375,0.3203125,0.46875,0.375,0.3203125,0.46875,0,1
Countdown,modebench,same_plumbing_actuator_off_control,mean8,0,0,0.0126953125,0.0126953125,0.0126953125,0.0126953125,0.0126953125,0.0126953125,0,1
Countdown,modebench,same_plumbing_actuator_off_control,mean8,1,384,0.322021484375,0.285888671875,0.375,0.32763671875,0.285888671875,0.375,0,1
Countdown,modebench,same_plumbing_actuator_off_control,pass8,0,0,0.087890625,0.087890625,0.087890625,0.087890625,0.087890625,0.087890625,0,1
Countdown,modebench,same_plumbing_actuator_off_control,pass8,1,384,0.630859375,0.486328125,0.646484375,0.587890625,0.486328125,0.646484375,0,1
Countdown,modebench,same_plumbing_actuator_off_control,distinct8,0,0,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0,1
Countdown,modebench,same_plumbing_actuator_off_control,distinct8,1,384,1.1328125,1.025390625,1.103515625,1.0872395833333333,1.025390625,1.1328125,0,1
Python factors,modebench,grpo,greedy,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,modebench,grpo,greedy,1,384,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,greedy,2,768,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,greedy,3,1152,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,greedy,4,1536,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,greedy,5,1920,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,greedy,6,2304,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,mean8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,modebench,grpo,mean8,1,384,0.171875,0.16015625,0.171875,0.16796875,0.16015625,0.171875,0,1
Python factors,modebench,grpo,mean8,2,768,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,mean8,3,1152,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,mean8,4,1536,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,mean8,5,1920,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,mean8,6,2304,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,pass8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,modebench,grpo,pass8,1,384,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,pass8,2,768,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,pass8,3,1152,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,pass8,4,1536,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,pass8,5,1920,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,pass8,6,2304,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,distinct8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,modebench,grpo,distinct8,1,384,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,distinct8,2,768,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,distinct8,3,1152,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,distinct8,4,1536,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,distinct8,5,1920,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,grpo,distinct8,6,2304,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,modebench,verified_first_global_replay_canonical,greedy,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,greedy,1,384,0.6328125,0.953125,0.1796875,0.5885416666666666,0.1796875,0.953125,0,1
Python factors,modebench,verified_first_global_replay_canonical,greedy,2,768,1.0,1.0,0.203125,0.734375,0.203125,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,greedy,3,1152,1.0,1.0,0.203125,0.734375,0.203125,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,greedy,4,1536,1.0,1.0,0.203125,0.734375,0.203125,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,greedy,5,1920,1.0,1.0,0.1953125,0.7317708333333334,0.1953125,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,greedy,6,2304,1.0,1.0,0.203125,0.734375,0.203125,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,mean8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,mean8,1,384,0.60791015625,0.9365234375,0.1796875,0.57470703125,0.1796875,0.9365234375,0,1
Python factors,modebench,verified_first_global_replay_canonical,mean8,2,768,0.969482421875,0.998779296875,0.18701171875,0.7184244791666666,0.18701171875,0.998779296875,0,1
Python factors,modebench,verified_first_global_replay_canonical,mean8,3,1152,0.994384765625,0.99755859375,0.199462890625,0.73046875,0.199462890625,0.99755859375,0,1
Python factors,modebench,verified_first_global_replay_canonical,mean8,4,1536,0.999267578125,0.998291015625,0.19091796875,0.7294921875,0.19091796875,0.999267578125,0,1
Python factors,modebench,verified_first_global_replay_canonical,mean8,5,1920,1.0,0.9921875,0.19140625,0.7278645833333334,0.19140625,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,mean8,6,2304,0.994873046875,0.9931640625,0.18798828125,0.725341796875,0.18798828125,0.994873046875,0,1
Python factors,modebench,verified_first_global_replay_canonical,pass8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,pass8,1,384,0.6328125,1.0,0.21875,0.6171875,0.21875,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,pass8,2,768,1.0,1.0,0.2109375,0.7369791666666666,0.2109375,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,pass8,3,1152,1.0,1.0,0.2265625,0.7421875,0.2265625,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,pass8,4,1536,1.0,1.0,0.216796875,0.7389322916666666,0.216796875,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,pass8,5,1920,1.0,1.0,0.2109375,0.7369791666666666,0.2109375,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,pass8,6,2304,1.0,1.0,0.21875,0.7395833333333334,0.21875,1.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,distinct8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,modebench,verified_first_global_replay_canonical,distinct8,1,384,0.71875,1.0,0.21875,0.6458333333333334,0.21875,1.0,0,1
